#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000002473_00248	313628.LNTAR_17603	4.72e-12	72.8	COG2165@1|root,COG2165@2|Bacteria	2|Bacteria	NU	general secretion pathway protein	-	-	-	ko:K02456	ko03070,ko05111,map03070,map05111	M00331	-	-	ko00000,ko00001,ko00002,ko02044	3.A.15	-	-	DUF1080,N_methyl,SBP_bac_10,T2SSG
MGYG000002473_02116	697281.Mahau_1341	6.01e-85	266.0	COG0673@1|root,COG0673@2|Bacteria,1TT9N@1239|Firmicutes,24EGX@186801|Clostridia,42HD0@68295|Thermoanaerobacterales	186801|Clostridia	S	PFAM oxidoreductase domain protein	-	-	-	-	-	-	-	-	-	-	-	-	GFO_IDH_MocA,GFO_IDH_MocA_C
MGYG000002473_00723	1268240.ATFI01000004_gene4402	2.05e-11	76.6	COG5434@1|root,COG5434@2|Bacteria,4P9Z7@976|Bacteroidetes,2FVTV@200643|Bacteroidia,4AUMW@815|Bacteroidaceae	976|Bacteroidetes	M	Right handed beta helix region	-	-	-	-	-	-	-	-	-	-	-	-	Beta_helix,Glyco_hydro_28
MGYG000002473_00713	706587.Desti_4690	2.53e-16	74.3	2FB1H@1|root,34387@2|Bacteria,1P1MI@1224|Proteobacteria,4317E@68525|delta/epsilon subdivisions,2WW7J@28221|Deltaproteobacteria,2MS7T@213462|Syntrophobacterales	28221|Deltaproteobacteria	S	PFAM coenzyme PQQ synthesis	-	-	-	-	-	-	-	-	-	-	-	-	PqqD
MGYG000002473_00236	1122143.AUEG01000006_gene1507	7.1e-27	117.0	COG1609@1|root,COG1609@2|Bacteria,1TP9Q@1239|Firmicutes,4HARD@91061|Bacilli,27H0N@186828|Carnobacteriaceae	91061|Bacilli	K	helix_turn_helix gluconate operon transcriptional repressor	araR	-	-	ko:K02103	-	-	-	-	ko00000,ko03000	-	-	-	GntR,Peripla_BP_1,Peripla_BP_3
MGYG000002473_01068	313628.LNTAR_20243	2.46e-57	198.0	COG0859@1|root,COG0859@2|Bacteria	2|Bacteria	M	ADP-heptose-lipopolysaccharide heptosyltransferase activity	tibC	-	-	ko:K02841,ko:K02843	ko00540,ko01100,map00540,map01100	M00080	-	-	ko00000,ko00001,ko00002,ko01000,ko01003,ko01005	-	GT9	-	Glyco_transf_9,Hydrolase_like
MGYG000002473_02730	335543.Sfum_0440	3.62e-60	194.0	COG0778@1|root,COG0778@2|Bacteria,1PDTZ@1224|Proteobacteria,42SQ3@68525|delta/epsilon subdivisions,2WPC5@28221|Deltaproteobacteria,2MQPP@213462|Syntrophobacterales	28221|Deltaproteobacteria	C	Nitroreductase family	-	-	-	-	-	-	-	-	-	-	-	-	Nitroreductase
MGYG000002473_01285	313628.LNTAR_14102	4.05e-289	828.0	COG0188@1|root,COG0188@2|Bacteria	2|Bacteria	L	DNA topoisomerase II activity	gyrA	-	5.99.1.3	ko:K02469	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	DNA_gyraseA_C,DNA_topoisoIV,TPR_19
MGYG000002473_03564	1196029.ALIM01000032_gene1282	6.07e-188	549.0	COG1164@1|root,COG1164@2|Bacteria,1TP4P@1239|Firmicutes,4HA7X@91061|Bacilli,1ZCHA@1386|Bacillus	91061|Bacilli	E	oligoendopeptidase F	pepF	GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006465,GO:0006508,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009987,GO:0010467,GO:0016485,GO:0016787,GO:0019538,GO:0034641,GO:0043170,GO:0043603,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0051604,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	ko:K08602	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_M3,Peptidase_M3_N
MGYG000002473_02557	278957.ABEA03000019_gene1869	6.16e-105	354.0	COG3664@1|root,COG3664@2|Bacteria,46YAT@74201|Verrucomicrobia,3K98E@414999|Opitutae	414999|Opitutae	G	PFAM glycoside hydrolase family 39	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000002473_00714	1033743.CAES01000009_gene1881	3.66e-59	214.0	COG1132@1|root,COG1132@2|Bacteria,1TP0B@1239|Firmicutes,4HA3S@91061|Bacilli,26QA9@186822|Paenibacillaceae	91061|Bacilli	V	ABC transporter, ATP-binding protein	yknV	-	-	ko:K11085	ko02010,map02010	-	-	-	ko00000,ko00001,ko01000,ko02000	3.A.1.106	-	-	ABC_membrane,ABC_tran
MGYG000002473_02834	1046724.KB889897_gene3315	2.06e-42	148.0	COG3417@1|root,COG3417@2|Bacteria,1R5KN@1224|Proteobacteria,1S3MQ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	COG3417 Collagen-binding surface adhesin SpaP (antigen I II family)	-	-	-	ko:K07337	-	-	-	-	ko00000	-	-	-	LpoB
MGYG000002473_00543	1484157.PSNIH2_21350	3.82e-19	89.4	COG4262@1|root,COG4262@2|Bacteria,1QIFV@1224|Proteobacteria,1TGA7@1236|Gammaproteobacteria,3W1JM@53335|Pantoea	1236|Gammaproteobacteria	S	Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000002473_01831	926551.KB900715_gene2228	1.02e-22	102.0	COG2207@1|root,COG2207@2|Bacteria,4PI71@976|Bacteroidetes,1IFHQ@117743|Flavobacteriia,1ET1T@1016|Capnocytophaga	976|Bacteroidetes	K	helix_turn_helix, arabinose operon control protein	-	-	-	-	-	-	-	-	-	-	-	-	HTH_18
MGYG000002473_03404	247490.KSU1_C1333	4.81e-20	92.0	COG4968@1|root,COG4968@2|Bacteria,2J519@203682|Planctomycetes	203682|Planctomycetes	NU	Pfam:N_methyl_2	-	-	-	-	-	-	-	-	-	-	-	-	N_methyl,SBP_bac_10
MGYG000002473_02971	1403819.BATR01000150_gene5086	5.62e-57	199.0	COG1680@1|root,COG1680@2|Bacteria,46SEQ@74201|Verrucomicrobia,2IU3U@203494|Verrucomicrobiae	203494|Verrucomicrobiae	V	Beta-lactamase	-	-	-	-	-	-	-	-	-	-	-	-	Beta-lactamase
MGYG000002473_00067	221109.22778572	4.06e-79	258.0	COG2244@1|root,COG2244@2|Bacteria,1V90S@1239|Firmicutes,4IRRW@91061|Bacilli	91061|Bacilli	S	Polysaccharide biosynthesis protein	-	-	-	-	-	-	-	-	-	-	-	-	Polysacc_synt_3
MGYG000002473_02273	794903.OPIT5_30420	4.08e-68	244.0	COG5434@1|root,COG5434@2|Bacteria	2|Bacteria	M	polygalacturonase activity	-	-	-	-	-	-	-	-	-	-	-	-	Beta_helix,CBM_6,F5_F8_type_C,Glyco_hydro_cc,Hepar_II_III,Hepar_II_III_N,Pectate_lyase_3
MGYG000002473_00584	1033732.CAHI01000006_gene2212	2.5e-37	137.0	COG1211@1|root,COG1211@2|Bacteria,4NMB5@976|Bacteroidetes,2FM5H@200643|Bacteroidia,22V8I@171550|Rikenellaceae	976|Bacteroidetes	I	Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP)	ispD	GO:0003674,GO:0003824,GO:0016740,GO:0016772,GO:0016779,GO:0050518,GO:0070567	2.7.7.60	ko:K00991	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00096	R05633	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	IspD
MGYG000002473_00617	794903.OPIT5_24510	1.43e-121	370.0	2A1VR@1|root,30Q50@2|Bacteria,46XZK@74201|Verrucomicrobia,3K8PA@414999|Opitutae	414999|Opitutae	S	MFS/sugar transport protein	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
MGYG000002473_00650	1307759.JOMJ01000003_gene1327	8.91e-131	394.0	COG1785@1|root,COG1785@2|Bacteria,1MXI2@1224|Proteobacteria,42N40@68525|delta/epsilon subdivisions,2WKUV@28221|Deltaproteobacteria,2M83Q@213115|Desulfovibrionales	28221|Deltaproteobacteria	P	Belongs to the alkaline phosphatase family	phoA	-	3.1.3.1	ko:K01077	ko00730,ko00790,ko01100,ko02020,map00730,map00790,map01100,map02020	M00126	R02135,R04620	RC00017	ko00000,ko00001,ko00002,ko00537,ko01000,ko04147	-	-	-	Alk_phosphatase
MGYG000002473_00682	313628.LNTAR_01892	1.26e-14	84.0	COG0582@1|root,COG0582@2|Bacteria	2|Bacteria	L	DNA integration	-	-	-	-	-	-	-	-	-	-	-	-	Phage_int_SAM_1,Phage_int_SAM_4,Phage_int_SAM_5,Phage_integrase
MGYG000002473_00715	446462.Amir_2206	1.95e-05	52.0	COG0681@1|root,COG0681@2|Bacteria,2HRYK@201174|Actinobacteria,4EBC8@85010|Pseudonocardiales	201174|Actinobacteria	U	Peptidase S24-like	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_S24
MGYG000002473_00781	748449.Halha_1924	2.8e-49	194.0	COG1305@1|root,COG1305@2|Bacteria,1VSWF@1239|Firmicutes,25AR7@186801|Clostridia,3WB60@53433|Halanaerobiales	186801|Clostridia	E	Domain of Unknown Function with PDB structure (DUF3857)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3857,DUF3858,Transglut_core
MGYG000002473_00815	929713.NIASO_07965	5.24e-41	137.0	COG3254@1|root,COG3254@2|Bacteria,4NSEM@976|Bacteroidetes,1ISVY@117747|Sphingobacteriia	976|Bacteroidetes	G	Involved in the anomeric conversion of L-rhamnose	-	-	5.1.3.32	ko:K03534	-	-	R10819	RC00563	ko00000,ko01000	-	-	-	rhaM
MGYG000002473_00912	313628.LNTAR_07364	1.48e-15	80.9	COG2165@1|root,COG2165@2|Bacteria	2|Bacteria	NU	general secretion pathway protein	-	-	-	ko:K02456	ko03070,ko05111,map03070,map05111	M00331	-	-	ko00000,ko00001,ko00002,ko02044	3.A.15	-	-	DUF1080,N_methyl,SBP_bac_10,T2SSG
MGYG000002473_01008	1307759.JOMJ01000003_gene1587	1.95e-88	293.0	COG1269@1|root,COG1269@2|Bacteria,1QGFB@1224|Proteobacteria,42QGM@68525|delta/epsilon subdivisions,2WR5N@28221|Deltaproteobacteria,2MA35@213115|Desulfovibrionales	28221|Deltaproteobacteria	C	Belongs to the V-ATPase 116 kDa subunit family	-	-	-	ko:K02123	ko00190,ko01100,map00190,map01100	M00159	-	-	ko00000,ko00001,ko00002	3.A.2.2,3.A.2.3	-	-	V_ATPase_I
MGYG000002473_01073	1128427.KB904821_gene1538	9.68e-11	73.6	COG3463@1|root,COG3463@2|Bacteria,1G2XA@1117|Cyanobacteria,1H828@1150|Oscillatoriales	1117|Cyanobacteria	S	membrane protein (DUF2079)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2079
MGYG000002473_01105	1218075.BAYA01000016_gene4485	9.35e-45	172.0	COG1538@1|root,COG1538@2|Bacteria,1MUHM@1224|Proteobacteria,2VKX1@28216|Betaproteobacteria,1K0AC@119060|Burkholderiaceae	28216|Betaproteobacteria	MU	Outer membrane efflux protein	-	-	-	-	-	-	-	-	-	-	-	-	OEP
MGYG000002473_01137	1449063.JMLS01000024_gene3683	7.89e-30	137.0	COG1409@1|root,COG3664@1|root,COG1409@2|Bacteria,COG3664@2|Bacteria,1VTGP@1239|Firmicutes,4HV8E@91061|Bacilli,26VFN@186822|Paenibacillaceae	91061|Bacilli	G	Carbohydrate family 9 binding domain-like	-	-	-	-	-	-	-	-	-	-	-	-	CBM9_1,Glyco_hydro_cc
MGYG000002473_01170	1286106.MPL1_00015	5.67e-50	172.0	COG1235@1|root,COG1235@2|Bacteria,1R5N4@1224|Proteobacteria,1S2TG@1236|Gammaproteobacteria,460KN@72273|Thiotrichales	72273|Thiotrichales	S	of the beta-lactamase superfamily I	-	-	-	-	-	-	-	-	-	-	-	-	Lactamase_B_2
MGYG000002473_01203	278957.ABEA03000180_gene2021	4.38e-169	498.0	COG1178@1|root,COG1178@2|Bacteria,46SFB@74201|Verrucomicrobia,3K7UZ@414999|Opitutae	414999|Opitutae	P	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02011	ko02010,map02010	M00190	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.10	-	-	BPD_transp_1
MGYG000002473_01235	1105031.HMPREF1141_1735	1.65e-116	343.0	COG1741@1|root,COG1741@2|Bacteria,1TQDV@1239|Firmicutes,2497R@186801|Clostridia,36G31@31979|Clostridiaceae	186801|Clostridia	S	Belongs to the pirin family	-	-	-	ko:K06911	-	-	-	-	ko00000	-	-	-	Pirin,Pirin_C
MGYG000002473_01272	642492.Clole_2586	6.6e-229	639.0	COG1167@1|root,COG1167@2|Bacteria,1TPMY@1239|Firmicutes,24986@186801|Clostridia	186801|Clostridia	EK	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	Aminotran_MocR
MGYG000002473_01337	246969.TAM4_2048	3.81e-07	53.5	COG2452@1|root,arCOG03164@2157|Archaea,2XW65@28890|Euryarchaeota,243W1@183968|Thermococci	183968|Thermococci	L	Resolvase, N terminal domain	-	-	-	ko:K07450	-	-	-	-	ko00000	-	-	-	HTH_17,Resolvase
MGYG000002473_01370	1122222.AXWR01000010_gene77	2.88e-46	169.0	COG2115@1|root,COG2115@2|Bacteria,1WJGE@1297|Deinococcus-Thermus	1297|Deinococcus-Thermus	G	Belongs to the xylose isomerase family	xylA	-	5.3.1.5	ko:K01805	ko00040,ko00051,ko01100,map00040,map00051,map01100	-	R00878,R01432	RC00376,RC00516	ko00000,ko00001,ko01000	-	-	-	AP_endonuc_2
MGYG000002473_01402	794903.OPIT5_28825	1.38e-314	885.0	COG0591@1|root,COG0591@2|Bacteria,46X1N@74201|Verrucomicrobia,3K92P@414999|Opitutae	414999|Opitutae	E	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family	-	-	-	-	-	-	-	-	-	-	-	-	SSF
MGYG000002473_01434	313628.LNTAR_12186	1.51e-151	451.0	COG2804@1|root,COG2804@2|Bacteria	2|Bacteria	NU	Type II secretory pathway, ATPase PulE Tfp pilus assembly pathway, ATPase PilB	xpsE	GO:0003674,GO:0005488,GO:0005515,GO:0042802	-	ko:K02454,ko:K02652	ko03070,ko05111,map03070,map05111	M00331	-	-	ko00000,ko00001,ko00002,ko02035,ko02044	3.A.15,3.A.15.2	-	-	T2SSE,T2SSE_N
MGYG000002473_01498	1227352.C173_16671	1.72e-81	253.0	COG1120@1|root,COG1120@2|Bacteria,1TP2Q@1239|Firmicutes,4HADG@91061|Bacilli,26QF4@186822|Paenibacillaceae	91061|Bacilli	HP	Part of the FecBCDE citrate-dependent iron (III) transport system	fecE	-	3.6.3.34	ko:K02013	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.14	-	-	ABC_tran
MGYG000002473_01531	794903.OPIT5_09700	1.26e-23	108.0	COG2188@1|root,COG2188@2|Bacteria,46Y6P@74201|Verrucomicrobia,3K90Y@414999|Opitutae	414999|Opitutae	K	helix_turn_helix gluconate operon transcriptional repressor	-	-	-	-	-	-	-	-	-	-	-	-	GntR,Peripla_BP_3
MGYG000002473_01597	1408422.JHYF01000013_gene558	5.99e-23	95.5	2E12M@1|root,32WIA@2|Bacteria,1VD2B@1239|Firmicutes,24NKB@186801|Clostridia,36M1W@31979|Clostridiaceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	zf-ribbon_3
MGYG000002473_01728	411471.SUBVAR_04867	1.11e-126	370.0	COG0583@1|root,COG0583@2|Bacteria,1TP77@1239|Firmicutes,248CX@186801|Clostridia,3WGE2@541000|Ruminococcaceae	186801|Clostridia	K	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
MGYG000002473_01825	1226325.HMPREF1548_03574	1.59e-150	439.0	COG3669@1|root,COG3669@2|Bacteria,1TQH2@1239|Firmicutes,24B8Y@186801|Clostridia,36F4D@31979|Clostridiaceae	186801|Clostridia	G	Psort location Cytoplasmic, score 7.50	-	-	3.2.1.51	ko:K01206	ko00511,map00511	-	-	-	ko00000,ko00001,ko01000,ko04147	-	GH29	-	Alpha_L_fucos
MGYG000002473_01891	935948.KE386495_gene1232	1.79e-90	275.0	COG0627@1|root,COG0627@2|Bacteria,1TPA9@1239|Firmicutes,24F6M@186801|Clostridia,42IG4@68295|Thermoanaerobacterales	186801|Clostridia	S	Putative esterase	-	-	-	-	-	-	-	-	-	-	-	-	Esterase
MGYG000002473_01925	1121904.ARBP01000043_gene2130	1.17e-43	176.0	COG3661@1|root,COG3661@2|Bacteria,4PPN5@976|Bacteroidetes	976|Bacteroidetes	G	Belongs to the glycosyl hydrolase 67 family	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000002473_01989	933262.AXAM01000001_gene387	5.84e-41	151.0	COG4261@1|root,COG4261@2|Bacteria,1MVXJ@1224|Proteobacteria,42PI2@68525|delta/epsilon subdivisions,2WMFI@28221|Deltaproteobacteria,2MKJC@213118|Desulfobacterales	28221|Deltaproteobacteria	S	lipid A biosynthesis acyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Lip_A_acyltrans
MGYG000002473_02021	1033737.CAEV01000014_gene861	3.82e-29	106.0	COG0184@1|root,COG0184@2|Bacteria,1VA5C@1239|Firmicutes,24MRM@186801|Clostridia,36KHC@31979|Clostridiaceae	186801|Clostridia	J	Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome	rpsO	-	-	ko:K02956	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S15
MGYG000002473_02053	1349785.BAUG01000027_gene1639	3.84e-55	186.0	28JZ9@1|root,2Z9PC@2|Bacteria,4P1SF@976|Bacteroidetes,1I8I6@117743|Flavobacteriia	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000002473_02117	645512.GCWU000246_01686	5.04e-09	53.5	COG1148@1|root,COG1148@2|Bacteria,3TBP5@508458|Synergistetes	508458|Synergistetes	C	4Fe-4S ferredoxin iron-sulfur binding domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Fer4
MGYG000002473_02215	266117.Rxyl_1416	6.49e-67	219.0	COG0196@1|root,COG0196@2|Bacteria,2GKQF@201174|Actinobacteria,4CPIB@84995|Rubrobacteria	84995|Rubrobacteria	H	Belongs to the ribF family	-	-	2.7.1.26,2.7.7.2	ko:K11753	ko00740,ko01100,ko01110,map00740,map01100,map01110	M00125	R00161,R00549	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	FAD_syn,Flavokinase
MGYG000002473_02249	349741.Amuc_0921	1e-261	759.0	COG0553@1|root,COG0553@2|Bacteria,46U9A@74201|Verrucomicrobia,2ITYK@203494|Verrucomicrobiae	203494|Verrucomicrobiae	L	SNF2 Helicase protein	-	-	2.7.11.1	ko:K08282	-	-	-	-	ko00000,ko01000	-	-	-	DUF3670,Helicase_C,SNF2_N
MGYG000002473_02346	794903.OPIT5_07565	8.83e-209	640.0	COG3934@1|root,COG3934@2|Bacteria	2|Bacteria	G	Belongs to the glycosyl hydrolase 5 (cellulase A) family	-	-	-	-	-	-	-	-	-	-	-	-	CBM_4_9,Cellulase,Glyco_hydro_2_C,Glyco_hydro_42,Glyco_hydro_72,Glycos_transf_2
MGYG000002473_02378	697281.Mahau_1764	1.52e-134	392.0	COG1063@1|root,COG1063@2|Bacteria,1VZEQ@1239|Firmicutes,253BU@186801|Clostridia	186801|Clostridia	E	Alcohol dehydrogenase GroES-like domain	-	-	-	-	-	-	-	-	-	-	-	-	ADH_N,ADH_zinc_N
MGYG000002473_02508	794903.OPIT5_08660	3.68e-18	90.9	COG4968@1|root,COG4968@2|Bacteria	2|Bacteria	NU	Prokaryotic N-terminal methylation motif	-	-	-	-	-	-	-	-	-	-	-	-	N_methyl,SBP_bac_10
MGYG000002473_02572	596324.TREVI0001_1494	1.96e-273	765.0	COG1155@1|root,COG1155@2|Bacteria,2J59J@203691|Spirochaetes	203691|Spirochaetes	F	Produces ATP from ADP in the presence of a proton gradient across the membrane. The V-type alpha chain is a catalytic subunit	atpA	-	3.6.3.14,3.6.3.15	ko:K02117	ko00190,ko01100,map00190,map01100	M00159	-	-	ko00000,ko00001,ko00002,ko01000	3.A.2.2,3.A.2.3	-	-	ATP-synt_ab,ATP-synt_ab_N,ATP-synt_ab_Xtn
MGYG000002473_02604	663278.Ethha_0952	1.28e-48	165.0	COG0500@1|root,COG2226@2|Bacteria,1TVU2@1239|Firmicutes,24AIJ@186801|Clostridia,3WJ6T@541000|Ruminococcaceae	186801|Clostridia	Q	Methyltransferase domain protein	-	-	-	ko:K15256	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	ATC_hydrolase,Methyltransf_11,Methyltransf_25,Methyltransf_31
MGYG000002473_02732	649638.Trad_1843	1.62e-110	337.0	COG0673@1|root,COG0673@2|Bacteria	2|Bacteria	S	inositol 2-dehydrogenase activity	-	-	-	-	-	-	-	-	-	-	-	-	GFO_IDH_MocA,PmoA
MGYG000002473_02797	404589.Anae109_2455	1.8e-56	204.0	COG0258@1|root,COG0749@1|root,COG0258@2|Bacteria,COG0749@2|Bacteria,1MU31@1224|Proteobacteria,42NAV@68525|delta/epsilon subdivisions,2WJ3W@28221|Deltaproteobacteria,2YXGJ@29|Myxococcales	28221|Deltaproteobacteria	L	In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity	polA	-	2.7.7.7	ko:K02335	ko00230,ko00240,ko01100,ko03030,ko03410,ko03420,ko03440,map00230,map00240,map01100,map03030,map03410,map03420,map03440	-	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko01000,ko03032,ko03400	-	-	-	5_3_exonuc,5_3_exonuc_N,DNA_pol_A,DNA_pol_A_exo1,HHH_5,UDG
MGYG000002473_02893	383372.Rcas_4091	2.41e-67	214.0	COG3822@1|root,COG3822@2|Bacteria	2|Bacteria	S	D-lyxose isomerase	-	-	5.3.1.15	ko:K09988	ko00040,map00040	-	R01898	RC00516	ko00000,ko00001,ko01000	-	-	-	Lyx_isomer
MGYG000002473_02957	47763.JNZA01000010_gene5648	6.61e-15	83.6	COG1609@1|root,COG1609@2|Bacteria,2GJV7@201174|Actinobacteria	201174|Actinobacteria	K	Periplasmic binding protein LacI transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	LacI,Peripla_BP_1,Peripla_BP_3
MGYG000002473_02989	1203632.HMPREF1300_00703	5.4e-25	110.0	COG1609@1|root,COG1609@2|Bacteria,2GNVD@201174|Actinobacteria,22JSP@1653|Corynebacteriaceae	201174|Actinobacteria	K	COG1609 Transcriptional regulators	rbsR	-	-	ko:K02529	-	-	-	-	ko00000,ko03000	-	-	-	LacI,Peripla_BP_1,Peripla_BP_3,Peripla_BP_4
MGYG000002473_03058	158190.SpiGrapes_0636	9.16e-21	91.7	COG0703@1|root,COG0703@2|Bacteria,2J7UD@203691|Spirochaetes	203691|Spirochaetes	H	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate	aroK	-	2.7.1.71	ko:K00891	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02412	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	SKI
MGYG000002473_03189	794903.OPIT5_28255	9.88e-17	85.5	COG2165@1|root,COG2165@2|Bacteria,46YFQ@74201|Verrucomicrobia,3K9GZ@414999|Opitutae	414999|Opitutae	NU	general secretion pathway protein	-	-	-	-	-	-	-	-	-	-	-	-	N_methyl,SBP_bac_10
MGYG000002473_03221	357276.EL88_07270	8.15e-39	140.0	COG2830@1|root,COG2830@2|Bacteria,4NQG6@976|Bacteroidetes,2G3CG@200643|Bacteroidia,4AWDI@815|Bacteroidaceae	976|Bacteroidetes	S	Protein of unknown function (DUF452)	bioC	-	2.1.1.197,3.1.1.85	ko:K02169,ko:K09789	ko00780,ko01100,map00780,map01100	M00572	R09543,R09725	RC00003,RC00460,RC00461	ko00000,ko00001,ko00002,ko01000	-	-	-	DUF452,Methyltransf_12,Methyltransf_25
MGYG000002473_03287	338963.Pcar_2422	1.06e-82	256.0	COG0289@1|root,COG0289@2|Bacteria,1MUCT@1224|Proteobacteria,42N84@68525|delta/epsilon subdivisions,2WJKT@28221|Deltaproteobacteria,43THZ@69541|Desulfuromonadales	28221|Deltaproteobacteria	E	Dihydrodipicolinate reductase, C-terminus	dapB	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008839,GO:0009058,GO:0009987,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0019752,GO:0019877,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046451,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576	1.17.1.8	ko:K00215	ko00261,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00261,map00300,map01100,map01110,map01120,map01130,map01230	M00016,M00525,M00526,M00527	R04198,R04199	RC00478	ko00000,ko00001,ko00002,ko01000	-	-	-	DapB_C,DapB_N
MGYG000002473_03319	641107.CDLVIII_0184	4.76e-47	170.0	COG1940@1|root,COG1940@2|Bacteria,1V1AM@1239|Firmicutes,25B1Z@186801|Clostridia,36WIU@31979|Clostridiaceae	186801|Clostridia	GK	ROK family	-	-	-	-	-	-	-	-	-	-	-	-	ROK
MGYG000002473_03384	335543.Sfum_1411	1.69e-126	391.0	COG0747@1|root,COG0747@2|Bacteria,1MUZH@1224|Proteobacteria,42MFK@68525|delta/epsilon subdivisions,2WKBU@28221|Deltaproteobacteria,2MQ6I@213462|Syntrophobacterales	28221|Deltaproteobacteria	E	PFAM Bacterial extracellular solute-binding proteins, family 5 Middle	-	-	-	ko:K02035,ko:K13893	ko02010,ko02024,map02010,map02024	M00239,M00349	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5,3.A.1.5.21,3.A.1.5.24	-	-	SBP_bac_5
MGYG000002473_03385	335543.Sfum_1411	1.69e-126	391.0	COG0747@1|root,COG0747@2|Bacteria,1MUZH@1224|Proteobacteria,42MFK@68525|delta/epsilon subdivisions,2WKBU@28221|Deltaproteobacteria,2MQ6I@213462|Syntrophobacterales	28221|Deltaproteobacteria	E	PFAM Bacterial extracellular solute-binding proteins, family 5 Middle	-	-	-	ko:K02035,ko:K13893	ko02010,ko02024,map02010,map02024	M00239,M00349	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5,3.A.1.5.21,3.A.1.5.24	-	-	SBP_bac_5
MGYG000002473_03419	1321778.HMPREF1982_01986	1.88e-55	188.0	COG1235@1|root,COG1235@2|Bacteria,1V5BQ@1239|Firmicutes,24HKX@186801|Clostridia	186801|Clostridia	S	Beta-lactamase superfamily domain	-	-	3.1.4.55	ko:K06167	ko00440,map00440	-	R10205	RC00296	ko00000,ko00001,ko01000	-	-	-	Lactamase_B_2
